,light_phase,network,block,treatment,day,time,time_sec,time_hour_abs,location,focal_individual,behaviour,social_partner,partner_response,notes,patch_partner
136,dark,1,1,twelve,3,3:20 PM,55200.00,63.33,8,E,mount,unknown,Quickly got off,,NA
137,dark,1,1,twelve,3,3:21 PM,55260.00,63.35,open,G,mount,H,NA,,H
138,dark,1,1,twelve,3,3:21 PM,55260.00,63.35,Open,H,mount,J,NA,".6, .7, .9 all mounted each other",J
139,dark,1,1,twelve,3,3:22 PM,55320.00,63.37,Open,G,mount,H,Ran away,,H
140,dark,1,1,twelve,3,3:23 PM,55380.00,63.38,8,H,mount,A,N/A,,A
141,dark,1,1,twelve,3,3:25 PM,55500.00,63.42,Open,K,mount,N,Walking around,:0 seems to be struggling to curl under 1.,N
142,dark,1,1,twelve,3,3:27 PM,55620.00,63.45,Open,K,mount,N,Ran away,,N
143,dark,1,1,twelve,3,3:29 PM,55740.00,63.48,9,G,mount,H,N.A,.6 got off shortly,H
144,dark,1,1,twelve,3,3:34 PM,56040.00,63.57,11,F,mount,G,N/A,,G
145,dark,1,1,twelve,3,3:40 PM,56400.00,63.67,12,G,mount,W,Firmly pressed against wall,,W
146,dark,1,1,twelve,3,3:42 PM,56520.00,63.70,12,G,mount,M,Running around,"the female ran in 7, got mounted by :1 who replaced .6",M
147,dark,1,1,twelve,3,3:45 PM,56700.00,63.75,7,L,mating,M,N/A,Pushed .6 off,M
148,dark,1,1,twelve,3,4:14 PM,58440.00,64.23,10,J,mount,M,Ran away,0. was approaching 10 but ran away,M
149,dark,1,1,twelve,3,4:19 PM,58740.00,64.32,10,J,mount,O,Ran away,2. was trying to enter 10 but ran away,O
150,dark,1,1,twelve,3,4:20 PM,58800.00,64.33,8,H,mating,P,Walking around,,P
151,dark,1,1,twelve,3,4:26 PM,59160.00,64.43,10,J,mount,G,unknown,,G
152,dark,1,1,twelve,3,4:36 PM,59760.00,64.60,12,L,mount,S,Ran away,,S
153,dark,1,1,twelve,3,4:40 PM,60000.00,64.67,Open,K,mating,U,Walking around,,U
154,dark,1,1,twelve,3,5:01 PM,61260.00,65.02,Open,B,mating,P,,,P
155,dark,1,1,twelve,4,9:25 AM,33900.00,81.42,10,B,mating,P,ran into group of bugs,could not see if .1 was in mating position ,P
156,dark,1,1,twelve,4,9:28 AM,34080.00,81.47,10,G,mount,B,ran into group of bugs,,B
157,dark,1,1,twelve,4,9:39 AM,34740.00,81.65,10,G,mount,N,ran into group of bugs,,N
158,dark,1,1,twelve,4,10:13 AM,36780.00,82.22,10,G,mount,V,9. shaking,,V
159,dark,1,1,twelve,4,10:25 AM,37500.00,82.42,10,G,mount,X,1: ran away into corner,,X
160,dark,1,1,twelve,4,11:05 AM,39900.00,83.08,10,I,mating,V,N/A,,V
161,dark,1,1,twelve,4,11:07 AM,40020.00,83.12,10,G,mount,V,N/A,,V
162,dark,1,1,twelve,4,11:22 AM,40920.00,83.37,10,I,mount,P,ran into group of bugs,,P
163,dark,1,1,twelve,4,11:26 AM,41160.00,83.43,10,I,mount,P,N/A,run into corner of 10 away from everyone else,P
164,dark,1,1,twelve,4,11:27 AM,41220.00,83.45,11,D,mount,N,run away,,N
165,dark,1,1,twelve,4,11:28 AM,41280.00,83.47,11,D,mount,N,ran away,"ran out of shelter really fast,",N
166,dark,1,1,twelve,4,12:06 PM,43560.00,84.10,8,H,mount,P,Ran away,caused .7 to exit 8,P
167,dark,1,1,twelve,4,12:14 PM,44040.00,84.23,12,L,mount,B,ran away,Ran into 6. causing 6. to run away more and then ran back to touching :0,B
168,dark,1,1,twelve,4,12:37 PM,45420.00,84.62,10,I,mount,B,N/A,.8 stopped quickly,B
169,dark,1,1,twelve,4,12:37 PM,45420.00,84.62,10,I,mount,X,N/A,,X
170,dark,1,1,twelve,4,12:38 PM,45480.00,84.63,10,G,mount,X,N/A,,X
171,dark,1,1,twelve,4,12:38 PM,45480.00,84.63,10,B,mount,X,N/A,,X
172,dark,1,1,twelve,4,12:41 PM,45660.00,84.68,10,B,mount,T,N/A,.1 stopped quickly,T
173,dark,1,1,twelve,4,12:46 PM,45960.00,84.77,10,G,mount,X,unknown,Caused the big group to move slightly away,X
174,dark,1,1,twelve,4,1:44 PM,49440.00,85.73,8,H,mount,A,N/A,quickly got off,A
175,dark,1,1,twelve,4,2:21 PM,51660.00,86.35,10,I,mating,V,Walked into group of bugs,,V
176,dark,1,1,twelve,4,2:34 PM,52440.00,86.57,10,I,mount,B,N/A,.8 got off quickly,B
177,dark,1,1,twelve,4,2:45 PM,53100.00,86.75,8,M,mount,N,ran away,1. approached entering 8 but ran away after mount,N
178,dark,1,1,twelve,4,4:06 PM,57960.00,88.10,2,F,mating,P,Walking around,,P
